鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
中山區,房地(土地+建物),臺北市中山區新生北路二段28巷1~30號,14.27,其他,,,10307,土地1建物1車位0,九層,015,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780517,131.60999999999999,2,2,2,有,有,28000000,212750,,0.0,0
萬華區,房地(土地+建物),臺北市萬華區大理街170巷1弄1~30號,27.26,其他,,,10306,土地1建物1車位0,六層,007,華廈(10層含以下有電梯),國民住宅,鋼筋混凝土造,0701004,65.05,3,1,2,有,有,4162293,63986,,0.0,0
內湖區,房地(土地+建物)+車位,臺北市內湖區成功路五段391~420號,49.45,住,,,10306,土地3建物1車位1,十五層，十六層,019,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0891016,200.78,3,2,3,有,有,38000000,189252,坡道平面,42.22,0
內湖區,房地(土地+建物)+車位,臺北市內湖區康樂街91~120號,31.17,住,,,10306,土地1建物1車位1,七層,008,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830510,157.16000000000003,3,2,2,有,有,20100000,127895,坡道平面,0.0,320000
文山區,土地,指南段四小段361~390地號,360.0,其他,,,10308,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1620000,4500,,0.0,0
中正區,房地(土地+建物),臺北市中正區忠孝西路一段31~60號,2.0,商,,,10306,土地2建物1車位0,十一層,012,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0670104,19.759999999999998,1,1,1,有,有,4950000,250506,,0.0,0
大同區,房地(土地+建物),臺北市大同區蘭州街1~30號,15.75,商,,,10306,土地1建物1車位0,三層,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0650623,60.18,0,0,1,有,無,8350000,138750,,0.0,0
大安區,房地(土地+建物),臺北市大安區通化街38巷1~30號,27.92,商,,,10307,土地1建物1車位0,三層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0731204,138.41,3,2,2,有,有,32500000,234810,,0.0,0
大安區,房地(土地+建物),臺北市大安區安和路二段61~90號,13.94,住,,,10307,土地2建物1車位0,三層,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0710226,133.74,2,2,2,有,有,42880000,320622,,0.0,0
北投區,房地(土地+建物),臺北市北投區吉利街181~210號,37.82,住,,,10307,土地1建物1車位0,,,公寓(5樓含以下無電梯),,,,95.0,3,2,2,有,無,15000000,157895,,0.0,0
北投區,房地(土地+建物),臺北市北投區稻香路135巷1~30號,40.9,住,,,10307,土地1建物1車位0,,,公寓(5樓含以下無電梯),,,,162.06,3,2,2,有,無,12800000,78983,,0.0,0
士林區,房地(土地+建物)+車位,臺北市士林區福國路31~60號,47.45,住,,,10003,土地2建物1車位3,,,住宅大樓(11層含以上有電梯),,,,415.89,3,2,2,有,無,75420000,241700,坡道平面,134.88,7500000
北投區,房地(土地+建物),臺北市北投區永和里行義路130巷1~30號,40.03,住,,,10307,土地4建物1車位0,,,華廈(10層含以下有電梯),,,,208.13,4,2,2,有,有,27500000,132129,,0.0,0
士林區,房地(土地+建物),臺北市士林區承德路四段80巷31~60號,25.95,住,,,10306,土地2建物1車位0,,,公寓(5樓含以下無電梯),,,,94.2,3,2,2,有,無,21800000,231423,,0.0,0
北投區,土地,豐年段二小段931~960地號,1314.0,農,,,10307,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,71547300,54450,,0.0,0
北投區,房地(土地+建物),臺北市北投區溫泉路37巷1~30號,13.08,住,,,10305,土地2建物2車位0,,,住宅大樓(11層含以上有電梯),,,,68.88,2,1,1,有,有,11000000,159698,,0.0,0
士林區,車位,臺北市士林區士東路266巷15弄1~30號,3.45,住,,,10307,土地0建物0車位1,,,其他,,,,38.02,0,0,0,有,有,2600000,,坡道平面,38.02,2600000
士林區,土地,新安段三小段271~300地號,88.23,住,,,10307,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6500000,73671,,0.0,0
松山區,房地(土地+建物),臺北市松山區撫遠街249巷1~30號,37.27,住,,,10306,土地1建物1車位0,四層,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710824,139.57,3,2,2,有,無,23700000,169807,,0.0,0
松山區,土地,西松段二小段31~60地號,17.52,其他,,,10306,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,57078,,0.0,0
內湖區,房地(土地+建物),臺北市內湖區清白里金湖路121~150號,40.43,住,,,10307,土地1建物1車位0,十一層,026,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1011121,279.75,3,2,2,有,有,54167716,193629,,0.0,0
內湖區,房地(土地+建物),臺北市內湖區東湖路113巷111弄1~30號,38.15,住,,,10306,土地1建物2車位0,五層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770303,126.86,3,2,2,有,有,16000000,126123,,0.0,0
松山區,房地(土地+建物),臺北市松山區民生東路五段151~180號,22.63,商,,,10307,土地1建物1車位0,八層,016,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0720915,244.38,4,2,2,有,有,52880000,216384,,0.0,0
中山區,房地(土地+建物)+車位,臺北市中山區明水路397巷19弄1~30號,25.11,住,,,10307,土地1建物1車位1,六層,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880125,136.3,3,2,1,有,有,33780000,247836,坡道平面,33.65,0
中山區,房地(土地+建物),臺北市中山區南京東路二段24巷1~30號,6.43,商,,,10307,土地2建物1車位0,四層,008,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0931209,42.29,1,1,1,有,有,11904000,281485,,0.0,0
內湖區,房地(土地+建物),臺北市內湖區東湖路106巷7弄1~30號,29.25,住,,,10306,土地1建物1車位0,一層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711228,96.41,0,0,1,有,無,15000000,155586,,0.0,0
中山區,房地(土地+建物),臺北市中山區天祥路61~90號,4.21,商,,,10306,土地1建物1車位0,四層,014,套房(1房1廳1衛),住家用,鋼筋混凝土造,0931203,47.83,3,1,1,有,有,12500000,261342,,0.0,0
內湖區,土地,石潭段四小段301~330地號,34.14,住,,,10307,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6192000,181371,,0.0,0
中山區,房地(土地+建物),臺北市中山區明水路691~720號,16.16,商,,,10307,土地1建物1車位0,九層,012,套房(1房1廳1衛),商業用,鋼筋混凝土造,0970319,58.99,1,1,1,有,有,15840000,268520,,0.0,0
內湖區,土地,舊宗段1~30地號,1823.22,其他,,,10307,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,716800000,393151,,0.0,0
內湖區,房地(土地+建物),臺北市內湖區民權東路六段232巷1~30號,19.11,住,,,10307,土地1建物1車位0,二層,004,套房(1房1廳1衛),住家用,鋼筋混凝土造,0940221,42.01,1,1,1,有,無,7500000,178529,,0.0,0
中山區,房地(土地+建物),臺北市中山區中山北路二段62巷1~30號,4.71,住,,,10307,土地1建物1車位0,二層,007,套房(1房1廳1衛),住家用,鋼筋混凝土造,0971031,25.48,1,1,1,有,有,4230000,166013,,0.0,0
中山區,房地(土地+建物)+車位,臺北市中山區中山北路二段62巷1~30號,4.76,住,,,10307,土地1建物1車位1,二層,007,套房(1房1廳1衛),住家用,鋼筋混凝土造,0971031,45.57,1,1,1,有,有,5570000,122230,塔式車位,19.87,0
大同區,房地(土地+建物),臺北市大同區西寧北路61~90號,15.0,其他,,,10307,土地1建物1車位0,二層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780320,78.88,2,1,1,有,無,9000000,114097,,0.0,0
萬華區,房地(土地+建物),臺北市萬華區青年路106巷1~30號,13.22,住,,,10307,土地0建物1車位0,二層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640403,31.18,1,1,1,有,無,3500000,112251,,0.0,0
萬華區,房地(土地+建物),臺北市萬華區萬大路486巷37弄1~30號,15.75,住,,,10307,土地2建物1車位0,三層,004,公寓(5樓含以下無電梯),住家用,加強磚造,0580213,47.32,1,1,1,有,無,5600000,118343,,0.0,0
萬華區,房地(土地+建物)+車位,臺北市萬華區中華路二段364巷1~30號,41.39,住,,,10307,土地1建物1車位1,十二層,014,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020702,159.86,3,2,2,有,有,12830000,80258,坡道平面,0.0,0
萬華區,房地(土地+建物),臺北市萬華區東園街28巷31~60號,25.5,住,,,10307,土地1建物1車位0,五層,006,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810921,165.25,4,2,2,有,有,17800000,107716,,0.0,0
大同區,房地(土地+建物),臺北市大同區歸綏街181~210號,7.24,商,,,10306,土地2建物1車位0,八層,010,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0840905,64.3,2,2,1,有,有,8800000,136858,,0.0,0
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,4.02,商,,,10307,土地1建物1車位0,五層,014,套房(1房1廳1衛),住家用,鋼筋混凝土造,0961025,53.5,1,1,1,有,有,8550000,159813,,0.0,0
萬華區,房地(土地+建物),臺北市萬華區西寧南路31~60號,11.26,商,,,10307,土地1建物2車位0,五層,010,華廈(10層含以下有電梯),商業用,預力混凝土造,0670215,99.64999999999999,2,2,1,有,有,13560000,136076,,0.0,0
文山區,房地(土地+建物),臺北市文山區木新路三段172巷1~30號,32.0,住,,,10307,土地1建物2車位0,,,店面(店鋪),,,,91.61,0,0,0,無,無,20200000,220500,,0.0,0
文山區,房地(土地+建物)+車位,臺北市文山區木柵路三段61~90號,18.51,商,,,10307,土地1建物1車位1,,,住宅大樓(11層含以上有電梯),,,,228.74,4,2,2,有,有,29950000,130935,坡道平面,43.81,0
文山區,房地(土地+建物)+車位,臺北市文山區木柵路三段61~90號,18.51,商,,,10307,土地1建物1車位1,,,住宅大樓(11層含以上有電梯),,,,228.74,4,2,2,有,有,32000000,139897,坡道平面,43.81,0
文山區,房地(土地+建物),臺北市文山區木柵路三段61~90號,18.26,商,,,10307,土地1建物1車位0,,,住宅大樓(11層含以上有電梯),,,,186.38,4,2,2,有,有,25860000,138749,,0.0,0
文山區,房地(土地+建物)+車位,臺北市文山區木柵路三段91~120號,18.55,商,,,10307,土地1建物1車位1,,,住宅大樓(11層含以上有電梯),,,,229.07,4,2,2,有,有,28400000,123980,坡道平面,43.81,0
文山區,房地(土地+建物)+車位,臺北市文山區木柵路三段91~120號,24.17,商,,,10307,土地1建物1車位1,,,住宅大樓(11層含以上有電梯),,,,286.75,4,2,3,有,有,44000000,153444,坡道平面,43.81,0
萬華區,房地(土地+建物),臺北市萬華區長沙街二段1~30號,7.05,商,,,10307,土地11建物1車位0,三層,011,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0691113,142.45,6,0,6,有,有,25800000,181116,,0.0,0
大同區,房地(土地+建物),臺北市大同區長安西路271~300號,10.45,商,,,10307,土地1建物1車位0,五層,011,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0660603,99.92,3,2,2,有,有,15650000,156625,,0.0,0
萬華區,房地(土地+建物),臺北市萬華區萬青街91~120號,18.33,住,,,10307,土地1建物1車位0,七層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0730808,108.08,3,2,1,有,無,13000000,120281,,0.0,0
文山區,房地(土地+建物)+車位,臺北市文山區興隆路三段181巷61~90號,52.49,住,,,10306,土地3建物1車位1,,,住宅大樓(11層含以上有電梯),,,,192.92,3,2,2,有,有,30000000,155505,坡道平面,15.23,0
文山區,房地(土地+建物),臺北市文山區興隆路三段207巷17弄1~30號,41.84,住,,,10306,土地2建物1車位0,,,公寓(5樓含以下無電梯),,,,81.78,2,2,1,有,無,8960000,109562,,0.0,0
文山區,房地(土地+建物),臺北市文山區溪口街85巷10弄1~30號,28.66,住,,,10307,土地2建物1車位0,,,公寓(5樓含以下無電梯),,,,90.52,3,2,1,有,無,14370000,158749,,0.0,0
中正區,房地(土地+建物),臺北市中正區泉州街20巷1~30號,37.0,住,,,10306,土地2建物1車位0,,,公寓(5樓含以下無電梯),,,,81.11,3,2,2,有,無,7900000,97399,,0.0,0
文山區,房地(土地+建物),臺北市文山區木柵路一段191巷31~60號,43.93,住,,,10307,土地1建物1車位0,,,其他,,,,150.68,5,2,3,有,無,18230000,120985,,0.0,0
中正區,房地(土地+建物)+車位,臺北市中正區牯嶺街61~90號,30.55,商,,,10307,土地2建物1車位3,,,住宅大樓(11層含以上有電梯),,,,387.21,0,0,0,無,有,81700000,210997,坡道平面,120.18,0
中正區,房地(土地+建物)+車位,臺北市中正區牯嶺街61~90號,30.94,商,,,10307,土地2建物1車位2,,,住宅大樓(11層含以上有電梯),,,,348.07,0,0,0,無,有,72200000,207430,坡道平面,76.08,0
中正區,房地(土地+建物)+車位,臺北市中正區牯嶺街61~90號,31.33,商,,,10307,土地2建物1車位4,,,住宅大樓(11層含以上有電梯),,,,430.21,0,0,0,無,有,90580000,210548,坡道平面,158.22,0
文山區,房地(土地+建物),臺北市文山區辛亥路七段26巷1~30號,54.0,住,,,10307,土地2建物1車位0,,,公寓(5樓含以下無電梯),,,,136.0,4,2,2,有,無,18000000,132353,,0.0,0
文山區,房地(土地+建物),臺北市文山區溪洲街23巷1~30號,41.6,住,,,10305,土地2建物1車位0,五層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,125.54,3,2,2,有,無,15440000,122989,,0.0,0
中正區,房地(土地+建物)+車位,臺北市中正區和平西路二段121~150號,36.81,住,,,10305,土地2建物1車位4,十三層,020,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970205,290.52,4,2,2,有,有,67400000,231998,坡道機械,100.88,0
文山區,房地(土地+建物),臺北市文山區景興路96巷1~30號,32.75,住,,,10307,土地1建物1車位0,二層,004,公寓(5樓含以下無電梯),住家用,加強磚造,0561130,105.95,3,2,1,有,無,16400000,154790,,0.0,0
萬華區,房地(土地+建物),臺北市萬華區萬大路601~630號,37.0,住,,,10306,土地1建物1車位0,一層，騎樓,003,公寓(5樓含以下無電梯),住家用,加強磚造,0580827,85.98,4,2,2,有,無,15000000,174459,,0.0,0
文山區,房地(土地+建物)+車位,臺北市文山區木柵路三段61~90號,38.21,商,,,10307,土地1建物2車位2,七層,026,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030609,470.34999999999997,4,2,2,有,有,64950000,138089,坡道平面,87.62,0
文山區,房地(土地+建物)+車位,臺北市文山區木柵路三段61~90號,22.63,商,,,10307,土地1建物1車位1,十七層,026,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030609,271.06,4,2,3,有,有,40300000,148676,坡道平面,43.81,0
文山區,房地(土地+建物),臺北市文山區羅斯福路五段176巷3弄1~30號,35.5,住,,,10307,土地1建物1車位0,二層，陽台,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,101.7,3,2,2,有,無,15600000,153392,,0.0,0
大同區,房地(土地+建物),臺北市大同區承德路三段51巷1~30號,41.25,商,,,10307,土地2建物1車位0,二層,004,公寓(5樓含以下無電梯),工業用,鋼筋混凝土造,0620918,109.83,5,2,1,有,無,16500000,150232,,0.0,0
萬華區,房地(土地+建物),臺北市萬華區環河南路三段301~330號,68.0,住,,,10307,土地1建物1車位0,一層,002,公寓(5樓含以下無電梯),住家用,加強磚造,0541027,71.23,0,0,0,無,無,12000000,168468,,0.0,0
大同區,房地(土地+建物),臺北市大同區南京西路412巷15弄1~30號,1.47,商,,,10307,土地1建物1車位0,全,002,透天厝,住家用,磚造,0380701,2.88,2,1,1,有,無,1068720,371083,,0.0,0
大同區,房地(土地+建物),臺北市大同區南京西路412巷15弄1~30號,2.94,商,,,10307,土地1建物1車位0,全,002,透天厝,住家用,磚造,0380701,5.76,2,1,1,有,無,2137680,371125,,0.0,0
大同區,房地(土地+建物),臺北市大同區南京西路271~300號,12.58,商,,,10302,土地1建物1車位0,八層,019,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1011214,151.32,0,0,0,無,無,46000000,303992,,0.0,0
萬華區,房地(土地+建物),臺北市萬華區環河南路二段250巷1~30號,13.47,住,,,10307,土地2建物1車位0,四層,016,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0761030,127.75,3,2,2,有,有,14800000,115851,,0.0,0
萬華區,房地(土地+建物),臺北市萬華區環河南路二段158巷1~30號,17.0,住,,,10307,土地1建物1車位0,一層,005,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0720815,73.11,2,1,1,有,無,2600000,35563,,0.0,0
萬華區,房地(土地+建物),臺北市萬華區廣州街265巷1~30號,28.32,商,,,10307,土地1建物1車位0,八層,014,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900808,155.96,4,2,2,有,有,19000000,121826,,0.0,0
萬華區,房地(土地+建物),臺北市萬華區環河南路二段121~150號,11.9,其他,,,10306,土地1建物1車位0,一層，騎樓,007,店面(店鋪),見使用執照,鋼筋混凝土造,0701224,78.89,1,1,1,有,有,16400000,207884,,0.0,0
萬華區,房地(土地+建物)+車位,臺北市萬華區青年路152巷1~30號,45.63,住,,,10306,土地4建物1車位1,二層,014,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970103,213.45,4,2,2,有,有,28500000,133521,坡道平面,0.0,0
中山區,房地(土地+建物),臺北市中山區德惠街1~30號,2.47,商,,,10307,土地1建物1車位0,六層,010,套房(1房1廳1衛),商業用,鋼筋混凝土造,0710419,25.29,1,1,1,有,無,4300000,170028,,0.0,0
內湖區,房地(土地+建物),臺北市內湖區金龍路222巷1~30號,11.87,住,,,10307,土地1建物1車位0,四層,012,套房(1房1廳1衛),住家用,鋼筋混凝土造,0821213,37.39,1,1,1,有,有,6180000,165285,,0.0,0
中山區,房地(土地+建物)+車位,臺北市中山區新生北路二段62巷1~30號,22.12,商,,,10306,土地1建物1車位2,四層,016,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000824,290.07,3,2,2,有,有,48300000,166512,坡道平面,76.64,0
內湖區,房地(土地+建物),臺北市內湖區安泰街45巷14弄1~30號,37.86,住,,,10306,土地2建物1車位0,三層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730613,127.22,3,2,2,有,無,13200000,103757,,0.0,0
中山區,房地(土地+建物),臺北市中山區雙城街3巷1~30號,6.0,商,,,10306,土地1建物1車位0,九層,015,套房(1房1廳1衛),住家用,鋼筋混凝土造,0841201,40.21,1,1,1,有,有,7800000,193982,,0.0,0
內湖區,房地(土地+建物),臺北市內湖區康寧路三段165巷25弄1~30號,21.34,住,,,10307,土地1建物1車位0,一層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0731218,104.24,2,1,1,有,無,3526000,33826,,0.0,0
中山區,房地(土地+建物),臺北市中山區錦州街1~30號,3.27,商,,,10307,土地1建物1車位0,十層,011,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0711204,56.28,2,2,2,有,有,11350000,201670,,0.0,0
中山區,房地(土地+建物)+車位,臺北市中山區新生北路三段1~30號,6.2,住,,,10307,土地3建物1車位1,三層,012,套房(1房1廳1衛),商業用,鋼筋混凝土造,0950209,60.989999999999995,1,1,1,有,有,13200000,216429,坡道機械,0.0,0
內湖區,土地,文德段三小段451~480地號,30.75,其他,,,10307,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,550000,17886,,0.0,0
中山區,房地(土地+建物),臺北市中山區建國北路三段151~180號,24.66,商,,,10307,土地1建物1車位0,五層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760629,100.09,4,3,3,有,無,17500000,174843,,0.0,0
中山區,房地(土地+建物),臺北市中山區林森北路259巷1~30號,8.16,商,,,10307,土地1建物1車位0,十三層,017,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850718,79.62,1,2,1,有,有,17900000,224818,,0.0,0
中山區,房地(土地+建物),臺北市中山區伊通街87巷1~30號,17.51,住,,,10305,土地1建物1車位0,三層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,39.54,3,1,2,有,無,8257680,208844,,0.0,0
內湖區,房地(土地+建物),臺北市內湖區安康路211~240號,22.0,住,,,10306,土地1建物1車位0,一層，停車場，通道,005,公寓(5樓含以下無電梯),見使用執照,鋼筋混凝土造,0701226,106.75,0,0,0,無,無,15580000,145948,,0.0,0
松山區,房地(土地+建物),臺北市松山區民族東路691~720號,20.57,住,,,10307,土地1建物1車位0,一層,007,辦公商業大樓,住商用,鋼筋混凝土造,,124.69,0,1,1,有,有,22750000,182452,,0.0,0
松山區,房地(土地+建物),臺北市松山區復興北路427巷1~30號,11.02,住,,,10307,土地1建物2車位0,六層,011,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971013,67.94,2,1,1,有,有,16100000,236974,,0.0,0
松山區,土地,西松段一小段511~540地號,1.8,其他,,,10307,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,250000,138889,,0.0,0
信義區,房地(土地+建物),臺北市信義區忠孝東路五段372巷27弄61~90號,44.54,住,,,10306,土地1建物1車位0,一層,007,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,,192.37,3,3,2,有,有,33600000,174663,,0.0,0
中山區,房地(土地+建物)+車位,臺北市中山區吉林路10巷1~30號,5.75,住,,,10306,土地1建物1車位1,四層,009,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0941012,44.22,1,1,2,有,有,11350000,256671,升降機械,8.1,0
中山區,車位,臺北市中山區建國北路二段1~30號,3.32,住,,,10307,土地0建物0車位1,地下一層，地下二層,014,其他,停車空間,鋼筋混凝土造,0950713,28.479999999999997,0,0,0,有,有,2200000,,坡道平面,14.03,2200000
中山區,房地(土地+建物),臺北市中山區農安街91~120號,27.25,住,,,10307,土地1建物1車位0,四層,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0600303,73.48,3,1,1,有,無,11300000,153783,,0.0,0
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段206巷143弄1~30號,33.28,住,,,10307,土地1建物1車位1,二層,005,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030415,107.57,2,1,1,有,無,17981900,167165,坡道平面,23.2,0
信義區,房地(土地+建物)+車位,臺北市信義區松勇路53巷61~90號,75.28,住,,,10306,土地1建物1車位2,十五層,018,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950315,328.89,4,2,3,有,有,115000000,349661,坡道平面,104.4,0
南港區,房地(土地+建物),臺北市南港區重陽路121~150號,30.08,住,,,10307,土地1建物1車位0,三層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,107.26,3,2,2,有,無,12000000,111878,,0.0,0
信義區,房地(土地+建物),臺北市信義區吳興街600巷37弄1~30號,23.75,住,,,10307,土地1建物1車位0,二層,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670328,69.28,2,2,1,有,無,4500000,64954,,0.0,0
信義區,房地(土地+建物),臺北市信義區吳興街345巷1~30號,19.82,住,,,10307,土地2建物1車位0,三層,006,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820917,94.19999999999999,3,2,2,有,無,19800000,210191,,0.0,0
士林區,房地(土地+建物)+車位,臺北市士林區基河路181~210號,40.48,住,,,10306,土地1建物1車位1,二層,009,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840811,179.29,4,2,2,有,有,28500000,158960,坡道平面,0.0,0
士林區,房地(土地+建物),臺北市士林區華齡街151~180號,24.02,住,,,10307,土地1建物1車位0,一層,005,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0730820,158.34,0,0,0,無,無,25000000,157888,,0.0,0
北投區,土地,豐年段三小段301~330地號,1076.58,農,,,10306,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,45590000,42347,,0.0,0
士林區,房地(土地+建物),臺北市士林區承德路四段297巷1~30號,29.67,住,,,10307,土地1建物1車位0,二層,003,公寓(5樓含以下無電梯),住家用,加強磚造,0580412,56.73,2,2,1,有,無,9800000,172748,,0.0,0
北投區,土地,關渡段一小段181~210地號,199.62,其他,,,10307,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2536128,12705,,0.0,0
士林區,房地(土地+建物),臺北市士林區大東路91~120號,673.0,商,,,10307,土地3建物1車位0,全,004,透天厝,住家用,鋼筋混凝土造,0620625,668.64,9,2,5,有,無,367230000,549219,,0.0,0
士林區,房地(土地+建物),臺北市士林區福港街259巷13弄1~30號,41.85,住,,,10307,土地1建物1車位0,一層,005,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0730409,132.94,2,2,1,有,無,16000000,120355,,0.0,0
北投區,土地,湖山段三小段331~360地號,3283.64,其他,,,10111,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18900000,5756,,0.0,0
北投區,房地(土地+建物),臺北市北投區自強街31巷31~60號,18.21,住,,,10306,土地3建物1車位0,一層，電梯樓梯間,005,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841028,54.24,2,1,1,有,無,15080000,278024,,0.0,0
北投區,房地(土地+建物)+車位,臺北市北投區天母西路121~150號,76.14,商,,,10307,土地1建物1車位6,十層,012,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0920425,356.40999999999997,5,2,3,有,有,77600000,217727,坡道平面,50.91,0
大安區,房地(土地+建物),臺北市大安區通化街165巷1~30號,43.2,住,,,10207,土地1建物2車位0,一層，平台,005,店面(店鋪),商業用,鋼筋混凝土造,,173.1,4,3,2,有,無,37200000,214905,,0.0,0
大安區,房地(土地+建物),臺北市大安區安和路二段31~60號,6.88,住,,,10306,土地2建物1車位0,三層,019,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,71.44,2,1,1,有,有,23000000,321948,,0.0,0
北投區,房地(土地+建物),臺北市北投區文林北路80巷60弄1~30號,33.33,住,,,10307,土地1建物1車位0,一層，騎樓,003,公寓(5樓含以下無電梯),住家用,加強磚造,0621113,82.41,3,2,1,有,無,16800000,203859,,0.0,0
大安區,房地(土地+建物),臺北市大安區敦化南路二段63巷54弄1~30號,22.74,住,,,10306,土地1建物1車位0,五層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0730621,111.95,2,2,1,有,有,31500000,281376,,0.0,0
中正區,車位,臺北市中正區和平西路一段61~90號,0.28,商,,,10307,土地0建物0車位1,地下一層，地下二層，地下四層，地下三層,028,其他,停車空間,鋼骨鋼筋混凝土造,0930120,40.769999999999996,0,0,0,有,有,389932,,坡道平面,14.12,389932
內湖區,車位,臺北市內湖區臺北市內湖區文德路90巷15及1~30號,0.4,住,,,10307,土地0建物0車位1,地下一層,013,其他,停車空間,鋼筋混凝土造,0961226,37.1,0,0,0,有,無,1600000,,坡道平面,0.0,1600000
中山區,房地(土地+建物),臺北市中山區中山北路三段1~30號,3.67,商,,,10307,土地1建物1車位0,五層,012,套房(1房1廳1衛),商業用,鋼筋混凝土造,0730217,38.379999999999995,1,1,1,有,有,5500000,143304,,0.0,0
內湖區,房地(土地+建物),臺北市內湖區康樂街61巷1~30號,32.79,住,,,10307,土地1建物1車位0,三層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0741230,116.83000000000001,3,2,2,有,無,14260000,122058,,0.0,0
北投區,房地(土地+建物),臺北市北投區吉利街369巷31~60號,42.0,住,,,10307,土地1建物1車位0,四層,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0661121,122.22,7,1,6,有,無,16680000,136475,,0.0,0
