鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
中正區,房地(土地+建物)+車位,臺北市中正區羅斯福路二段36巷1~30號,11.3,住,,,10305,土地5建物1車位1,一層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790825,34.35,4,2,2,有,有,4500000,131004,坡道機械,0.0,0
文山區,房地(土地+建物)+車位,臺北市文山區興隆路二段203巷31~60號,28.91,住,,,10306,土地1建物1車位1,三層,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880329,117.30000000000001,3,2,1,有,有,14750000,125746,坡道平面,36.12,0
文山區,房地(土地+建物),臺北市文山區政大三街31~60號,21.38,住,,,10307,土地1建物1車位0,三層,005,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0950724,45.78,1,2,1,有,有,7400000,161643,,0.0,0
文山區,車位,臺北市文山區萬安街31~60號,3.2,住,,,10307,土地0建物0車位1,地下一層,007,其他,商業用,鋼筋混凝土造,0850426,25.84,0,0,0,有,有,950000,,坡道機械,31.42,950000
中正區,土地,永昌段一小段361~390地號,23.0,其他,,,10307,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,380000,16522,,0.0,0
文山區,房地(土地+建物),臺北市文山區興隆路四段195巷1~30號,20.72,住,,,10307,土地1建物1車位0,五層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700521,96.06,3,1,2,有,無,8050000,83802,,0.0,0
文山區,房地(土地+建物),臺北市文山區光輝路87巷2弄1~30號,33.38,住,,,10306,土地1建物1車位0,三層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710619,111.26,3,2,2,有,無,14500000,130325,,0.0,0
文山區,房地(土地+建物),臺北市文山區興隆路四段105巷1~30號,7.93,住,,,10306,土地1建物1車位0,地下一層,013,套房(1房1廳1衛),商業用,鋼筋混凝土造,0840821,41.7,1,1,1,有,有,3500000,83933,,0.0,0
文山區,房地(土地+建物),臺北市文山區木柵路一段59巷11弄1~30號,30.38,住,,,10307,土地2建物1車位0,三層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701223,94.49000000000001,3,2,2,有,無,12200000,129114,,0.0,0
文山區,房地(土地+建物),臺北市文山區辛亥路四段77巷31~60號,25.06,住,,,10306,土地1建物1車位0,六層,010,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831101,40.96,2,1,1,有,有,7500000,183105,,0.0,0
萬華區,房地(土地+建物),臺北市萬華區梧州街1~30號,18.36,商,,,10306,土地2建物1車位0,四層,008,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,0731219,132.59,4,2,2,有,有,13000000,98047,,0.0,0
萬華區,房地(土地+建物)+車位,臺北市萬華區中華路二段364巷1~30號,41.39,住,,,10308,土地1建物1車位1,三層,014,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020702,159.86,3,2,2,有,有,22500000,140748,坡道平面,0.0,0
萬華區,房地(土地+建物)+車位,臺北市萬華區長沙街二段151~180號,17.98,商,,,10307,土地1建物1車位1,八層,011,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800201,216.16,4,2,2,有,有,29100000,134623,坡道平面,33.67,0
中山區,車位,臺北市中山區南京東路二段181~210號,0.04,商,,,10307,土地0建物0車位1,一層,015,其他,見其他登記事項,鋼筋混凝土造,0990528,16.3,0,0,0,有,有,1050000,,坡道機械,16.26,1050000
中山區,房地(土地+建物),臺北市中山區復興北路31~60號,19.56,商,,,10307,土地1建物1車位0,三層,012,辦公商業大樓,商業用,鋼筋混凝土造,0690729,177.32999999999998,0,0,0,無,有,32000000,180455,,0.0,0
中山區,房地(土地+建物),臺北市中山區民權東路一段31~60號,2.1,商,,,10307,土地1建物1車位0,十二層,012,套房(1房1廳1衛),住家用,鋼筋混凝土造,0961002,37.55,1,1,1,有,有,9350000,249001,,0.0,0
中山區,房地(土地+建物),臺北市中山區德惠街31~60號,2.71,商,,,10307,土地1建物1車位0,十層,011,套房(1房1廳1衛),住家用,鋼筋混凝土造,0710227,29.55,1,1,1,有,有,5350000,181049,,0.0,0
中山區,房地(土地+建物),臺北市中山區農安街1~30號,4.84,商,,,10307,土地1建物1車位0,七層,014,套房(1房1廳1衛),住家用,鋼筋混凝土造,0920618,45.739999999999995,0,1,1,有,有,9800000,214254,,0.0,0
